team,end,end_shot,player,task,turn,points,chance_perfect,chance_zero,expected_points,pre_WP,WP
Sweden,3,3,Christoffer Sundgren,Guard,CCW,3,0.592259,0.0494256,3.30553,0.2622,0.2636
United States of America,3,4,John Landsteiner,Raise,CCW,3,0.512295,0.109318,2.99038,0.2636,0.2696
Sweden,3,5,Rasmus Wranå,Take-out,CCW,4,0.737948,0.101305,3.3576,0.2696,0.2607
United States of America,3,6,Matt Hamilton,Double,CW,4,0.54276,0.0463428,2.97615,0.2607,0.2648
Sweden,3,7,Rasmus Wranå,Draw,CCW,4,0.555989,0.0738446,3.27478,0.2648,0.2592
United States of America,3,8,Matt Hamilton,Draw,CCW,0,0.514731,0.0918646,2.9631,0.2592,0.2493
Sweden,3,9,Oskar Eriksson,Take-out,CW,4,0.728289,0.0841607,3.43643,0.2493,0.2474
United States of America,3,10,Tyler George,Take-out,CW,4,0.7637,0.0794947,3.36901,0.2474,0.2607
Sweden,3,11,Oskar Eriksson,Raise,CW,4,0.487891,0.0906191,3.01603,0.2607,0.2547
United States of America,3,12,Tyler George,Double,CW,4,0.526212,0.0400116,3.00297,0.2547,0.261
